스토리ID,스토리 이름,이전 스토리ID,다음 스토리ID,친밀도,이벤트 타입,이벤트 타입 조건,이벤트 타입 수량,스토리 스타트 포인트,맵 ID,talkPandaID,일반 대화,스토리 성공 실패 체크,대화 선택지 ID,선택A_텍스트,선택지A_대화 이동 ID,선택B_텍스트,선택지B_대화 이동 ID,클리어 보상 타입,보상 아이템 ID,보상 수량,클리어 보상 친밀도
SS0505,,,,,,,,,,NPC08,"예끼! 인어는 이유없이 지상에 모습을 보이지 않아! 나같이 잘생긴 판다를 보기 위해서라면 모를까 그때도 말이야 내가,,",,,,,,,,,,
SS0505,,,,,,,,,,NPC01,아니! 안 궁금해! 그러면 방법이 없는건가?,,,,,,,,,,
SS0505,,,,,,,,,,NPC08,성인식을 하기 위해 강으로 올라오는 시기가 있지만 그건 아무도 알 수 없어,,,,,,,,,,
SS0505,,,,,,,,,,NPC08,인어는 몸에 10개의 비늘이 자라나면 성인식을 위해 강가로 온단 말이지. 뭐 성인식이라도 하는 인어를 만난다면 모를까,,,,,,,,,,
SS0505,,,,,,,,,,NPC01,"10개의 비늘이라,, 포야 이건 중요한 단서야!",END,,,,,,,,,
SS0506,,SS0505,SS0507,56,퀘스트 아이템 체크,인어의 성인식,1,NPC05,MN02,NPC05,"포야, 지지 안녕~",,,,,,,퀘스트 아이템,비늘 수집의 비밀,1,1
SS0506,,,,,,,,,,NPC01,아저씨! 10개의 비늘이야!,,,,,,,,,,
SS0506,,,,,,,,,,NPC05,그게 무슨소리니?,,,,,,,,,,
SS0506,,,,,,,,,,NPC01,10개의 비늘이 자라면 인어는 성인식을 위해 강으로 올라온대!,,,,,,,,,,
SS0506,,,,,,,,,,POYA00,우리가 인어의 비늘을 10개 모아서 강에 있으면 성인식을 하는 인어로 생각해서 다른 인어들도 찾아오지 않을까요?,,,,,,,,,,
SS0506,,,,,,,,,,NPC05,나도 알 수 없지만 시도는 해보고 싶구나. 혹시 인어의 비늘을 10개 모으면 나에게 가져와 주겠니?,,,,,,,,,,
SS0506,,,,,,,,,,NPC01,좋아!근데 인어의 비늘은 어디서 구하지?,,,,,,,,,,
SS0506,,,,,,,,,,NPC05,옛날에 읽은 책에서 얻은 정보를 알려주마!,,,,,,,,,,
SS0506,,,,,,,,,,NPC05,"""한 겨울, 하루와 내일을 이어주는 시간에 바닷속으로 낚시대를 던지면 인어의 비늘을 얻을 수 있을 것이다.""",,,,,,,,,,
SS0506,,,,,,,,,,NPC05,내가 아는 정보는 이게 다야. 과연 무슨뜻일까?,,,,,,,,,,
SS0506,,,,,,,,,,NPC01,"흠,, 포야 이게 무슨 뜻일까?",,,,,,,,,,
SS0506,,,,,,,,,,POYA00,"대충 짐작은 가는데,,",END,,,,,,,,,
SS0507,,SS0506,SS0508,57,,,,NPC05,MN02,NPC05,"포야, 지지 안녕~ 비늘은 찾았니?",END,,,,,,,,,1
SS0508,,SS0507,SS0509,57,IVGI,IFI49,10,NPC05,MN02,NPC05,"포야, 지지 안녕~ 비늘은 찾았니?",,,,,,,퀘스트 아이템,인어의 눈물,1,10
SS0508,,,,,,,,,,NPC05,얘들아 비늘을 찾았구나!,,,,,,,,,,
SS0508,,,,,,,,,,,진짜 힘들었어! 이제 강가에서 비늘을 사용해보자!,,,,,,,,,,
SS0508,,,,,,,,,,,어디선가 바람소리가 들려온다,,,,,,,,,,
SS0508,,,,,,,,,,,",,,???",,,,,,,,,,
SS0508,,,,,,,,,,,너희들은 인어가 아니구나,,,,,,,,,,
SS0508,,,,,,,,,,,잠깐만!!,,,,,,,,,,
SS0508,,,,,,,,,,,친구를 찾고있어요. 이름은 에리얼!,,,,,,,,,,
SS0508,,,,,,,,,,,에리얼의 이름을 어떻게 아는거죠?,,,,,,,,,,
SS0508,,,,,,,,,,,"저는 에리얼의 가장 친한 친구, 당신의 브로이가 여기서 기다리는 중이라고 제발 전해주세요",,,,,,,,,,
SS0508,,,,,,,,,,,"가장 친한 친구라,, 전해주겠어요. 전할 수 있다면",,,,,,,,,,
SS0508,,,,,,,,,,,"인어,, 사라져버렸다",,,,,,,,,,
SS0508,,,,,,,,,,,"아,,에리얼,,",,,,,,,,,,
SS0508,,,,,,,,,,,뭔가 반짝이는데요?,,,,,,,,,,
SS0508,,,,,,,,,,,인어의 눈물을 획득했다.,,,,,,,,,,
SS0508,,,,,,,,,,,"에리얼,,",END,,,,,,,,,
SS0509,,SS0508,SS0510,90,퀘스트 아이템,인어의 눈물,1,NPC05,MN02,NPC05,",,,",END,,,,,,,,,1
